gene_symbol,PEMN_1,PEMN_2,PEMN_3,PEMN_4,PIMN_1,PIMN_2,PIMN_3,PIMN_4,PIMN_5,PIN_1,PIN_2,PSN,PSVN_1,PSVN_2,Glia_1,Glia_2,Glia_3,Glia_4,Glia_5,Glia_6
ABCB8,3484,5591,14305,11716,5050,2115,6353,10733,11347,4272,14448,9780,7678,12731,4264,4916,4265,4415,5143,7546
ABCB9,14971,12786,8064,12834,8961,11792,3718,6359,12815,13027,12292,5600,7694,7229,2263,445,1538,3836,1144,2394
ABCC1,10940,3377,5044,10649,8241,8969,5572,6004,14298,10913,12451,6158,15366,14606,454,2848,1105,4898,1335,2183
ABCC10,11368,12746,13098,9949,11356,3361,3246,12741,11211,3536,14616,10817,11886,6813,2233,4278,2562,2728,3380,1859
ABCC11,14189,14989,314,1437,7755,10020,3218,3039,8521,15580,10059,11143,15715,4179,8502,6220,6200,9891,12283,8243
ABCC12,10321,15928,1472,13553,251,8303,7056,3437,189,15738,307,4723,12517,11115,13393,12433,6743,16109,12082,11394
ABCC2,13521,13319,2793,10190,8691,15622,6077,1082,13588,14954,7838,2622,8609,5585,2873,2551,7834,13808,7108,5499
ABCC3,14093,12551,10368,10480,929,14872,5200,2398,9780,10911,14826,2329,15261,3515,4087,2770,3049,14297,4067,882
ABCC4,10222,10751,12100,13712,2259,9323,6499,2628,9283,10192,14273,11304,9225,5231,2915,7243,5014,5686,4195,3850
ABCC5,13310,12282,7907,12490,14431,7701,5450,13125,9934,9409,10651,9176,11988,9160,462,850,978,1401,408,1112
ABCC6,7490,5545,3680,8498,6740,15080,4288,927,7575,14461,15052,9744,6586,2334,8622,9349,7268,12868,8869,8416
ABCC8,14469,14723,9388,13411,2278,1566,6644,3288,10812,12554,15890,2423,882,1177,10452,6571,10714,11704,10949,11639
ABCC9,282,3111,10200,9804,4617,14316,4572,1793,2421,14626,3640,9660,7665,12077,15806,5186,3533,10878,8902,14258
ABCD1,6733,13547,6971,2415,5844,1190,15453,8736,1186,10759,10376,13626,1340,10524,7045,10642,9738,8131,10458,9208
ABCD2,5086,3012,11354,12356,11284,3740,12304,11591,10940,15316,8969,3289,6076,6510,5164,6288,5756,6015,6357,6811
ABCD3,2880,2095,4907,7215,6413,459,9139,10903,6932,13680,13325,13648,4046,5749,15052,15817,13626,428,11232,224
ABCD4,5373,14385,11714,13892,8915,9602,4332,3436,12356,8157,12961,9782,7394,9387,848,5776,4383,5483,2468,2180
ABCE1,10104,13481,11956,11526,3583,8079,7839,7254,9607,13718,9127,10217,8888,5548,1333,4436,5600,2160,4979,5772
ABCF1,889,8356,6655,9378,6958,7711,9178,10203,4948,11239,6632,15069,961,11737,7982,7967,8624,8057,8507,9027
ABCF2,4767,11832,6954,11704,6324,7200,11753,8807,5376,3339,2762,15654,14582,7062,2999,5933,6485,9565,8258,8140
ABCG1,11059,11631,12571,10112,775,12550,14750,600,5325,11367,5626,10357,12392,5234,5040,5482,6109,11242,8252,6749
ABCG2,14352,6550,3537,7253,2683,15648,4748,588,12790,15174,4858,6725,8471,4832,11229,8111,9739,10540,11972,6494
ABCG4,11218,10306,6537,14424,9017,1584,10931,6539,2170,1593,9250,16070,5429,2160,11562,12883,12810,11906,12709,12657
ABCG5,10572,5852,3746,2463,2036,13512,5424,556,10750,15307,12649,8189,15711,2310,11314,6145,9535,15522,5286,5704
ABCG8,14322,12142,1503,15660,1032,12899,2762,1786,14755,4705,15394,4709,12670,8806,4312,5610,2559,14080,2469,1258
ABHD1,15781,12318,1815,12363,6784,15595,485,1051,12391,9845,14056,4956,13631,5731,5586,503,2050,14069,2933,5513
ABHD10,714,2259,6578,1369,12322,7321,13978,15883,15553,2479,6949,11112,11608,4096,10595,9240,7881,10410,7985,8605
ABHD11,13090,6983,9594,5585,1886,2004,11662,3827,10509,15444,11882,6129,12249,8829,970,7050,4947,8404,7713,7097
ABHD12,8530,13437,10463,6922,6863,8011,12917,12631,6390,7149,8935,10712,11801,11897,1215,2702,2348,3005,1627,2541
ABHD12B,411,284,606,7476,8453,11220,921,2125,5927,13752,3028,2002,1309,29,16118,15874,16079,16273,14084,15634
ABHD13,1204,5408,15170,241,15278,274,13009,10142,1180,6105,6624,14515,3834,9146,13438,14253,12551,10046,10990,12684
ABHD14A,15962,16130,4551,7405,16089,10304,3610,3322,4983,73,6484,12344,12292,6131,6270,8380,8672,9387,3611,4767
ABHD14B,11296,6580,3547,15422,14745,6646,563,1763,9161,1726,7359,2695,8413,16192,12061,10394,14322,15159,3321,9447
