gene_symbol,PEMN_1,PEMN_2,PEMN_3,PEMN_4,PIMN_1,PIMN_2,PIMN_3,PIMN_4,PIMN_5,PIN_1,PIN_2,PSN,PSVN_1,PSVN_2,Glia_1,Glia_2,Glia_3,Glia_4,Glia_5,Glia_6
AHNAK2,3786,3474,7487,3694,8681,1605,14002,12709,1960,5413,5704,15928,5069,6752,11298,12902,12384,11766,12553,12650
AHR,189,129,8457,263,2141,123,13425,4730,9132,3744,13643,6486,15846,15712,11686,15745,14641,5089,13658,12767
AHRR,7548,6542,11955,3242,15551,2159,9485,15956,13976,2475,14693,7591,2118,4308,3512,8101,5511,6819,7477,5511
AHSA1,830,9553,15195,2823,9725,9637,13998,11239,6290,11002,6480,10644,6568,3941,5837,6438,5937,8239,8288,11051
AHSA2,3593,13401,13908,12437,14734,526,1496,15002,14111,4014,12984,1882,11384,13586,10082,4668,6150,297,8350,7284
AHSG,16162,4029,486,5359,5069,14976,2258,1708,16077,6352,1002,8894,10563,7579,10891,10139,11992,13098,12714,10147
AICDA,3382,1342,12719,1146,9433,16268,9083,4319,4857,5841,2854,590,3846,2595,14269,15119,15534,16146,14220,14821
AIDA,6059,12848,11242,3697,14690,8392,6503,7765,14489,8205,8571,10548,13846,10577,1276,3132,2615,3024,1774,2435
AIF1,4037,1556,432,16107,15646,10621,9733,2265,16241,1030,3145,673,4404,2789,14102,15767,15016,15417,15686,13938
AIF1L,13758,10680,2112,5614,397,14498,3970,359,16195,5556,10753,8735,436,6415,14564,11963,12435,15070,8228,8956
AIFM1,13978,12437,11385,4442,4311,13977,6774,10542,15042,3092,11212,9680,13711,654,6197,6139,8470,6261,2584,2658
AIFM2,5738,5834,15162,14396,10338,8445,11986,7444,14697,5316,1692,6694,12876,7355,4654,5317,4425,6129,5921,4103
AIG1,13052,10058,5904,9106,12595,8728,9757,11576,13532,7364,12691,6538,14930,11121,1307,577,220,893,1085,361
AIM1,11513,6805,6394,5124,2206,10357,2292,2162,15868,15412,10700,4275,8004,8347,6431,9966,7386,10642,9530,7437
AIM1L,12376,8050,11053,8249,4836,13019,1468,1169,8066,15697,12512,3103,2705,9560,4735,8420,8876,12768,7566,9370
AIM2,15606,15517,3132,3416,10280,10803,699,2361,4150,15786,860,10780,13976,1017,12823,12322,13065,12130,12145,12494
AIMP1,3579,13412,14301,2414,13245,7026,10218,13936,5169,12885,3441,10380,10202,8079,4097,6888,8255,4751,5525,4488
AIMP2,6252,11810,12956,9854,3786,11706,10834,8937,8050,9682,8650,11276,1811,8668,4321,5581,3791,6871,3483,2456
AIP,1727,12846,15941,2281,5097,1909,15404,13632,2015,2088,3126,9174,7598,10657,10440,12290,11807,10865,12427,12372
AIPL1,16211,4413,9777,6310,3687,15399,14359,1176,5790,123,465,6285,11342,9170,13885,12924,12840,12756,11072,8733
AIRE,1870,849,242,726,16001,8881,12093,1406,10211,666,2053,9975,2404,16108,15076,13304,15669,11535,15665,15653
AJAP1,13196,4898,950,1901,16261,15192,1703,16124,3184,10266,9768,793,8198,1152,9574,14980,9816,10527,11574,10155
AK1,2326,10765,13879,3407,5680,2650,15264,6534,2661,3383,4925,15286,6949,7173,9979,12402,11964,11235,12392,12653
AK2,11307,5112,10891,12747,7977,8935,11316,9368,9439,9352,13335,11185,6853,4299,2965,3500,1897,3913,2972,3899
AK3,8920,8487,9857,9728,11309,3984,13228,12399,8062,12411,5256,11691,6643,7203,3616,7099,3394,4081,3166,5080
AK4,6183,7446,14699,3689,5432,3545,13632,8529,5332,8215,12565,12794,5174,7365,4137,7585,7489,6998,6970,8013
AK5,264,1907,3567,2924,390,10023,13506,1538,2009,13066,3219,4519,13016,15671,4857,16125,15883,6060,15449,1169
AK7,10027,2365,12747,13869,2372,15174,5219,1678,14987,9666,11640,4077,10212,4965,7549,6354,7020,10890,4812,5527
AK8,9808,4321,3284,7079,8231,15980,10363,3305,13698,14705,7718,4000,8368,1369,9345,7320,9174,14856,7214,8322
AK9,11790,5711,11425,14557,1165,8953,8259,3655,10835,9411,12162,4957,11273,14826,7942,4377,4204,2684,1521,3937
AKAP1,7569,8872,5902,6381,12910,1196,10523,16157,6023,6446,9418,9346,9458,12650,3128,5042,3429,3842,5667,4913
AKAP10,11883,7352,8629,9797,7778,10726,4124,11087,13034,11267,9475,8397,8047,13361,7311,5107,2752,1608,712,747
AKAP11,5788,10660,10158,3419,12033,1088,12595,14294,5189,6401,6368,13423,8211,13714,6447,6767,6706,3861,6830,6179
AKAP12,4597,10208,3411,330,13907,6158,10874,11672,7695,6486,8750,12934,15498,13901,52,458,1967,610,15380,12559
AKAP13,7313,8837,5091,4464,14353,7602,7794,12912,11677,9085,10768,7135,15307,13085,1007,32,31,38,14337,15196
AKAP14,3794,4144,2826,15573,1375,15808,4854,996,14447,8151,7248,2601,12370,13976,8131,9367,9796,11444,7187,6550
AKAP17A,6182,6968,12748,5159,13123,2351,9885,13647,5268,4719,2527,12524,4966,15376,8798,8262,8374,4459,9567,7522
AKAP3,7894,12103,2026,15812,1934,13322,6009,3971,10295,3937,159,4586,10710,15892,4419,13133,9077,14485,7124,8937
AKAP5,9937,4877,16225,1384,12041,8264,1956,4657,5226,3487,15629,3870,3997,1329,12999,13758,14748,15199,11898,12675
AKAP6,13680,12644,4703,10122,15809,8877,9146,14311,13147,6323,11673,4582,14117,9732,19,1157,43,526,3588,989
AKAP7,834,2299,8539,8087,14409,7018,11532,12960,14874,14237,12535,2393,2250,7851,6710,11603,14398,3644,4820,99
AKAP8,2533,1979,11154,13102,11744,9366,8901,10420,15649,9983,11929,6953,8479,4065,3318,1617,2685,2606,11658,7817
AKAP8L,12346,7124,7059,10358,11303,7666,4082,8834,12859,9805,15390,6309,14774,8338,3576,934,1896,2489,428,960
AKAP9,4997,8128,9326,9552,11950,6583,10415,11489,8613,12439,13143,7425,10755,11506,4451,5210,2458,993,825,1212
AKIP1,8836,15344,12671,9671,7941,6345,11468,9434,11905,13609,7809,6497,2883,4019,2105,5750,5373,7225,3777,3354
AKIRIN1,5352,7766,10339,1957,6629,3884,13797,10785,5628,8414,10196,14082,7060,10931,4615,5712,5083,6107,9175,8075
AKIRIN2,9546,9154,13622,1903,3719,7024,13271,6398,4692,7630,6129,14439,3221,11787,7306,9196,8564,7215,9080,8998
AKNA,910,7820,2234,9708,978,11747,2936,2073,9843,14152,3867,8099,14411,15780,13486,6111,4513,5671,11295,14545
AKNAD1,6359,3885,9748,11232,2970,13907,4676,7481,14736,15066,6467,3339,8081,6011,13531,6717,9774,4440,5866,4073
AKR1A1,12105,12436,12353,9056,2823,13527,10482,7166,8982,10626,10555,8004,11847,5958,753,2407,2780,6682,945,985
AKR1B1,8195,14060,12385,6216,6207,1287,15532,12917,3475,1820,8392,13336,2851,9082,6779,9302,7782,8419,8514,8567
AKR1B10,15960,646,10764,549,2107,16151,7210,1133,9898,533,1690,285,16141,1774,15215,15090,15491,15542,14659,15614
AKR1B15,9062,4204,16025,5475,11262,10341,2365,3366,8651,15181,1131,4513,1092,1292,11453,14316,13872,15970,15032,11748
AKR1C1,1579,1396,3075,5790,12276,4054,9720,11586,10360,2914,7096,15787,15657,9400,12287,4954,8950,5640,10005,8412
AKR1C2,2000,521,1451,1745,12246,4178,15635,7656,15687,3954,1420,13216,13427,12136,11269,12252,11688,12699,11482,11512
AKR1C3,12882,1792,2585,7933,15290,15751,13349,5568,4292,8589,42,7946,14806,12492,13029,5004,9062,7101,2798,8622
AKR1C4,16015,15783,308,906,15233,16168,14943,1706,10658,776,2441,474,3031,2295,14843,14307,15290,14875,13069,15206
AKR1CL1,14866,5080,3937,13489,7324,15758,6696,3845,16110,497,14301,1959,1700,1677,13106,11915,12766,10138,11263,11181
AKR1D1,8087,14953,5275,15114,4267,15143,9428,912,10290,12422,12019,4320,4324,1924,2691,5287,5577,13456,7382,7362
AKR1E2,8660,2571,8873,8148,5190,9852,6981,7783,11578,13895,8053,12921,1200,8211,11001,5736,6269,10713,5872,4076
AKR7A2,5838,7567,5937,534,9973,4456,16135,8309,7286,5141,876,12945,7727,11558,11136,10843,12120,10922,11498,9314
AKR7A3,2613,1090,318,939,16223,357,9147,16211,12086,794,2494,11465,3120,2331,13411,14423,15839,15052,15634,15295
AKT1,4657,12907,15177,6730,11393,140,14093,15160,2534,10020,6406,10563,3942,1851,11984,11084,10982,6550,11182,10405
AKT1S1,7815,4554,7360,3026,9221,1765,15938,6269,1579,3642,2307,15827,8955,5954,12711,13773,13114,13161,13478,13826
AKT2,1399,14263,4584,14377,14677,7077,1373,15953,4979,10976,11665,9272,9504,5364,11603,3282,3213,1223,2225,7053
AKT3,11956,10759,4713,9751,15468,6672,4690,13605,12783,9728,11337,4430,15100,12726,5264,6521,3504,10,3724,413
AKTIP,11418,12020,14946,2923,4977,3660,12889,8464,3514,4245,7987,13533,10008,12132,6102,7514,7078,6559,6650,5012
ALAD,13642,11993,2574,4394,6893,15502,11958,10337,11994,5183,1139,10429,13303,9757,2996,2980,3827,7485,4262,3326
ALAS1,6910,4754,13208,2530,7533,6780,14308,5723,15836,3432,3324,5565,6063,14957,5086,8667,9872,9398,8638,9678
ALAS2,16240,11924,3079,1253,4908,631,466,2180,10979,991,3034,4065,4191,16117,14884,13888,14893,15266,15217,13839
ALB,653,6349,6650,271,13264,16106,989,13984,13016,308,15445,2434,12884,1206,15508,13050,11732,8115,13504,14807
ALCAM,111,179,6148,2096,15891,8113,13865,15754,13004,2415,10165,3435,15570,13694,7534,8641,9731,2642,8421,7676
ALDH16A1,15941,2347,6917,4056,7692,15903,14033,3614,6368,6832,154,1240,15964,7190,12864,4299,14940,10803,7064,4531
ALDH18A1,14834,9624,6462,13291,1484,7582,15110,4803,8251,3803,5071,13688,5770,9195,6096,4517,5319,7115,6474,5354
ALDH1A1,15426,16050,8382,10719,15602,10445,12252,15975,7463,861,4179,111,489,866,3872,15756,15077,6219,10693,3961
ALDH1A2,4723,2118,919,2903,16166,12962,9765,16160,16058,3544,6636,730,5320,5246,9763,11935,10881,11407,11031,10480
ALDH1A3,4432,9227,1410,2185,14729,6271,11609,16187,3936,1334,5359,777,14998,16020,9796,12367,11289,10576,11702,12062
ALDH1B1,10354,5094,9227,950,10636,4682,15051,6432,868,801,2512,15676,3171,13681,13931,14875,14755,12548,13563,13134
ALDH1L1,5114,15752,68,15237,13225,16233,6918,2103,2024,2970,944,7290,12868,1101,14704,13990,14056,13404,13337,15261
ALDH1L1-AS2,13415,516,14509,14579,5211,10350,1674,3071,3391,15841,12193,1452,9376,1546,12528,12828,13268,14281,13139,13344
ALDH1L2,6439,9669,9757,5552,10349,6912,5505,8692,12310,10180,12745,12185,13128,9346,1708,3973,4731,3751,1695,2171
ALDH2,8812,11677,10985,5707,4943,6901,16071,11430,7713,7189,5505,8945,2144,8520,3831,6556,6087,5623,8387,5953
ALDH3A2,6245,15174,6220,2406,9956,4536,13781,13037,4286,3767,6091,12704,4543,14971,8371,9520,6220,6102,4032,4546
ALDH3B1,240,804,1802,4498,2629,10080,9248,923,8447,1833,16205,6663,15242,559,14388,15965,15567,15593,8025,14851
ALDH3B2,15664,4063,610,2708,3160,14921,2536,4185,1043,15366,15159,2916,13867,12822,9496,9611,6274,13268,7753,9073
ALDH5A1,7651,9662,14170,5929,12401,10809,11020,9959,10666,13552,10261,5419,7142,6419,2145,2831,2938,5386,2316,2928
ALDH6A1,9834,5085,7425,3885,2334,6858,10976,9780,6732,15460,9064,9543,3413,10727,8156,10266,7361,9249,2996,4858
ALDH7A1,10601,11901,10185,11987,5789,11517,2048,7343,14188,13176,7686,9924,6315,5854,5935,7031,4187,6862,745,3330
ALDH8A1,8562,14502,7722,9228,15046,9503,726,8860,8647,2633,13245,11864,15453,11539,2744,1154,2895,3569,548,1008
ALDH9A1,4342,3415,15167,6346,4216,2406,14936,6803,5812,12284,8170,9386,4824,10522,6339,10143,8990,7522,8266,7836
ALDOA,4927,9722,13969,5105,3924,3476,15759,10585,1841,6370,3786,13491,4277,7095,8052,10268,9613,10234,11634,11836
ALDOB,15130,13872,4668,291,12265,4947,15210,7331,71,15813,1107,142,15654,1262,15378,15561,15225,14233,13302,9540
ALG1,5694,9663,7432,8420,10071,11512,13209,8654,3866,8835,13619,13303,1174,5899,8596,6122,3915,6900,4255,2040
ALG10,946,9081,9886,412,14583,96,6470,10961,110,12839,1357,3190,1385,16080,15472,15099,15805,11698,14318,13178
ALG10B,4882,9271,16224,1559,11833,936,6138,5621,582,1146,3524,11682,15926,3030,14114,15463,14927,14051,14796,14245
ALG11,6787,5786,15937,5490,12873,4722,10291,6898,10862,2048,13606,10233,346,9167,10642,8001,11587,6218,10252,4966
ALG12,14070,11387,7206,6781,7138,14224,14454,5162,13743,2488,161,12553,7792,4041,8423,6987,7208,14055,6981,8527
ALG13,2362,9445,6510,11725,10548,2395,4684,8680,14713,14899,13829,2588,7292,5270,4540,338,1079,595,15881,13494
ALG14,9184,13246,13590,14645,4253,9098,10956,5575,10018,10075,1395,11714,3978,3343,11719,9359,5165,8741,3937,8448
ALG1L,442,6389,7539,8037,13295,1425,15330,9053,13809,11310,772,7814,15995,925,12885,10083,12263,8981,7969,7809
ALG2,2410,4645,8832,9855,3471,1013,8416,5227,1078,2677,6981,15378,11126,15672,10873,12596,11823,11395,12807,12346
ALG3,3660,800,1769,6593,9447,8030,12428,6529,5615,15002,13177,14508,2537,1296,12135,13442,13571,12094,11511,11178
ALG5,12421,12989,14727,14913,2104,8287,7188,3085,14952,9471,8896,5308,14156,507,10477,8004,9540,10712,3901,2117
ALG6,12927,1684,3775,6739,10161,11043,4268,9985,15745,13459,9363,7415,14855,8119,4209,8230,6034,1863,1133,2090
ALG8,3631,3393,13413,11136,4165,12480,10113,9008,11660,6708,7149,7262,9003,14441,6625,4489,4991,5610,3567,1318
ALG9,5646,4342,11779,2473,10561,2100,14817,7993,632,4763,5030,15809,6798,6777,12441,13037,12655,11962,13105,12899
ALK,16241,16210,904,6142,10647,5637,260,5108,1858,2501,174,6868,15225,12327,12310,15680,12425,3487,14020,9082
ALKBH1,1463,10453,15072,14197,10497,10032,11328,6400,7627,10971,9825,6448,1517,8823,5677,3146,2782,4555,6703,6024
ALKBH2,12285,14284,8510,13094,565,13044,5976,2900,13826,85,5754,6371,1503,15773,8914,11418,9008,14608,12431,8485
ALKBH3,9771,7526,3175,3045,12844,7952,9955,11001,16010,1930,12037,11273,14960,8878,7157,5112,8559,2549,1453,1577
ALKBH4,10379,7152,10215,12185,3882,1072,8409,1633,13932,9186,4810,8766,7105,15673,7867,8514,8213,10646,6926,7153
ALKBH5,8267,13582,13494,4474,3435,5743,12783,5938,2655,10912,2427,13795,3236,11926,8429,10065,9782,8495,9244,8845
ALKBH6,13539,6853,4890,14139,7904,3641,11096,3402,8631,13555,11835,13535,2693,4081,3729,6404,6321,8372,7561,6619
ALKBH7,5233,4514,11539,3713,6827,1319,15302,10671,1532,3031,3824,15721,6273,6051,12153,13870,13455,12438,13383,13020
ALKBH8,8158,3971,6324,5728,13846,10557,8134,8901,11944,14515,13815,7643,13277,5018,5716,5116,5561,2058,1009,1260
ALLC,11074,14962,14992,13829,10909,13253,449,3489,1642,7183,14766,7783,1190,7283,2537,5437,11217,9994,3075,8158
ALMS1,7560,8495,6747,10282,14036,7435,4130,11259,13660,12629,13682,4632,11173,12618,3627,3553,2853,567,2745,843
ALOX12,13771,15650,4976,14865,16184,8452,1398,13469,15236,513,9614,6093,5708,3539,5831,10440,1870,1375,5617,5572
ALOX12B,13437,3565,2350,564,2142,5725,701,3273,9162,4115,16234,5915,9664,12446,13013,11610,14389,14071,12753,12838
ALOX15,546,3470,2999,12141,4272,3320,1864,516,983,5514,939,1533,856,1095,16063,15054,16278,16196,16076,13872
ALOX15B,16256,1367,16067,12345,4524,13223,428,2062,4837,938,2894,601,3908,2620,15088,15008,15224,16052,15221,14829
ALOX5,9955,2171,12691,10962,4886,11411,7832,5254,5966,13323,15901,3453,5496,1929,8180,8370,6724,8799,9091,10754
ALOX5AP,14435,3553,16131,14399,3821,14964,4063,357,4300,6188,5354,4390,10044,858,12318,13866,12942,14152,12264,12134
ALOXE3,15767,9971,4859,14477,1814,16036,13815,1501,13659,2352,669,3578,4990,807,11451,11297,13483,12774,13007,11454
ALPK1,13733,9338,11501,14599,9,13212,4123,7,4280,5086,5039,2634,482,3123,16170,15460,15353,2478,15923,15334
ALPK2,15298,5854,4533,14470,729,15226,5468,2562,7577,11333,11349,6658,564,12397,7046,5342,7866,9317,3574,4537
ALPK3,7413,725,3191,3574,10487,8626,12941,15743,15270,12565,15249,1789,432,645,10786,14077,13215,10184,10796,11296
ALPL,14324,3879,747,14720,4855,16073,1812,2488,15771,3379,11676,5995,3878,7108,12463,5566,7114,14946,6744,8271
ALS2,10356,10928,3448,12575,14708,8102,9051,15057,15373,4376,8254,7268,11363,11624,1439,3211,1221,1214,921,1115
ALS2CL,2190,1785,5028,2317,6010,2373,11928,5469,12041,6133,15526,14162,8420,9152,5623,10014,9111,7922,10142,11189
ALS2CR11,9293,5688,3990,5899,13980,10727,5384,14723,15283,4680,13611,5917,13754,13556,1602,580,1612,2937,1673,1671
ALS2CR12,12540,9575,3789,5066,10865,10100,12059,9521,15811,12315,6256,10814,3363,2683,5472,6790,4414,4795,6990,7856
ALX3,1428,4462,13014,591,14121,163,2432,9571,7648,5501,13373,15747,1950,1827,13764,12845,14403,11984,14450,15320
ALX4,13418,9684,13652,10887,1363,13143,4160,612,5062,9373,16003,554,1406,7169,11358,11557,13382,14205,8531,7979
ALYREF,11568,754,5045,652,2492,2287,15959,12632,2291,615,14936,14498,12741,1932,13015,15138,14914,11137,14340,13640
AMACR,2761,15274,2251,974,15796,3672,16022,16178,3499,11395,2558,504,3255,2377,13203,13820,14848,12631,13243,13202
AMBN,15669,3045,2852,1292,3290,15632,6396,1190,7432,5273,686,14888,14981,6674,13570,11320,12017,14247,9478,8528
AMBP,15685,15156,7858,16155,610,6196,11274,2595,7492,5338,661,8033,9152,796,10441,8725,13854,12245,9360,11650
AMBRA1,11651,11500,11150,8362,12713,6984,12818,12851,8038,8288,9017,11791,4800,5880,4840,3998,4092,1721,1530,3065
AMD1,1292,8181,8473,3948,7518,5403,11426,7697,4515,3904,5734,15900,5528,12730,12869,10382,9507,8759,9768,11834
AMDHD1,7052,3916,11129,6749,715,9303,4847,3832,10564,15751,13699,2422,7675,10811,10282,9242,7901,12362,7877,8395
AMDHD2,9163,1030,6492,10485,12239,805,4702,9620,2793,15201,4321,14396,9951,9328,7215,9826,9723,10617,9790,12493
AMELY,14962,2899,773,2590,9087,2028,9625,3484,1127,16264,4788,4639,7684,3730,15127,15448,15271,15546,14962,14987
AMER1,3112,7075,14210,1466,13728,627,15069,13955,289,1602,6099,12246,8142,14591,8882,12113,11605,10579,11886,11961
AMER2,4388,3593,4709,1524,14354,1769,14575,15040,3735,10390,2604,7881,6317,15783,12920,7023,8941,7674,8955,9055
AMER3,3020,9140,14486,5722,6517,2194,11899,6388,1185,11473,7027,15255,6015,3953,10620,12326,11817,11927,12115,12069
AMFR,4769,8697,14358,6115,4557,1955,12912,8625,5683,7698,7368,13843,6850,10942,7732,9679,8684,5790,6125,7230
AMH,14939,15582,73,11004,16190,8793,2060,14174,11681,4515,77,1170,15052,15417,11687,5247,7580,3587,8947,11127
AMHR2,13832,378,6636,16057,4635,12907,4361,663,14416,14175,1115,3708,9580,1270,12536,12750,11991,11128,14315,15058
AMICA1,1545,2516,788,7028,1199,15248,3461,3581,4682,10066,12627,10783,2742,15802,12506,10834,13354,13649,11422,8939
AMIGO1,3343,3578,15710,3488,7102,735,14886,14076,1424,3255,3936,13014,4012,8463,11736,13299,12775,12272,12969,12944
AMIGO2,4532,1729,8625,2190,9617,1819,14550,12871,1854,8248,3408,15766,5596,4193,12663,13777,13553,13184,13796,13668
AMMECR1,12313,14597,13560,15158,14526,6990,1919,13025,10001,10350,12577,3963,1209,4282,4829,1810,1691,4338,3429,5217
AMMECR1L,521,2236,8646,5193,3139,9061,10106,11093,3393,15302,7251,10508,4079,12637,6553,7656,8798,7058,13296,12659
AMN,6385,400,15267,318,15974,2164,1253,6800,2577,344,11064,15298,13615,11362,10992,14477,14247,8626,14772,15431
AMN1,12640,13406,8105,13609,13680,12306,7995,6093,12842,10536,9427,7113,12582,6649,443,2895,768,2310,385,398
AMOT,12052,15057,7345,3699,6850,3014,7852,15321,601,4385,3206,15095,2864,13409,11723,10032,11014,9061,8401,8497
AMOTL1,1119,2148,5137,2534,15250,10053,13094,16001,12551,1630,3232,1863,13512,15653,10274,2389,3326,4536,13913,14090
AMOTL2,409,15676,10976,5240,9595,166,11387,15598,3418,3394,5029,4037,4518,15716,3673,15818,14415,4423,5924,6352
AMPD1,10319,862,1285,6023,8127,10211,2895,1440,15040,14613,16065,383,2461,2068,15304,15532,14734,13660,14221,13651
AMPD2,1927,9037,11854,3671,9135,2894,13508,10771,1233,2284,6592,15858,7229,8165,10705,12104,11660,11130,12689,11732
AMPD3,12010,15169,3227,5965,2922,13562,9210,14255,10179,13071,9231,5969,12616,7285,529,2287,547,5335,1313,3092
AMPH,16159,16189,8821,14957,9153,3483,2922,6560,4587,4502,11235,3019,4702,4172,5618,4956,5869,4935,7211,5960
AMT,11757,3801,13030,2240,1265,10314,455,11204,10514,13374,15215,4181,14533,9031,8804,5935,4446,9223,2977,5458
AMTN,2199,9128,8291,828,10728,16157,6271,1572,14105,726,15606,3133,2737,2193,13369,14403,14187,15168,14083,12755
AMY2B,11817,4830,5665,11788,11989,2045,1910,14754,10002,10917,5486,14564,15086,1666,13914,7237,12777,3054,2229,6982
AMZ1,8814,8961,7685,14777,8013,14344,7524,9149,11168,8848,12730,2735,11995,10770,810,579,2542,4637,2339,519
AMZ2,1363,13073,8840,3788,2018,984,14168,1343,2063,3356,513,14693,12254,15248,14866,11298,15133,9808,13623,15118
ANAPC1,10209,5725,1750,8522,12435,9205,7098,7832,11855,15064,13953,7032,14234,8902,6839,5455,4196,1240,1794,983
ANAPC10,8845,8265,5637,9989,13014,5281,9356,15204,15558,5045,8539,9635,14164,6746,7970,2066,1307,955,3033,2539
ANAPC11,2202,13169,9159,1259,5260,3959,15678,6806,1923,6340,4671,15186,7087,8096,10363,12098,12168,11256,11890,11434
ANAPC13,4610,9498,13956,2193,5699,2655,15306,6240,723,7762,5802,14976,4310,6059,11468,13387,12295,12044,12650,12306
ANAPC15,6355,14011,9311,1149,3558,5227,14196,4654,3503,3721,9996,15866,7854,4368,10087,11802,11304,11707,12056,12165
ANAPC16,12167,11908,13038,11714,2390,10825,10900,6950,9614,10901,9145,8090,7592,9513,3787,3014,3895,5418,509,902
ANAPC2,1279,5330,5619,5020,15165,250,3702,4272,3586,11431,8123,15899,15533,7954,7326,11067,11539,8512,12245,10655
ANAPC4,10885,4310,5513,8589,14771,426,3162,15618,10977,13516,10470,4262,15202,13040,7530,6579,5054,364,3748,2336
ANAPC5,11809,9757,7096,9237,3452,12732,6889,8684,14041,7447,12225,8809,11852,11450,4910,948,943,4391,563,640
ANAPC7,7215,5320,12625,8507,14521,10042,11490,13836,11039,10087,8864,8294,10251,6023,3288,3067,2318,2163,2411,963
ANGEL1,7702,2735,15662,15328,9730,8316,11344,12806,620,7048,3561,10237,3103,4190,14986,12162,13614,4494,5379,5436
ANGEL2,7571,2071,4106,10110,14966,9552,3498,11235,12636,13039,14946,4098,14204,11557,8231,3477,5393,1476,374,233
ANGPT1,4545,1109,580,996,16091,10321,8130,15537,12359,3330,4226,1522,16177,15652,6414,9415,8501,8804,9447,9285
ANGPT2,8598,7307,4127,14632,11906,12424,7981,9235,15572,7849,7960,5723,8975,12511,297,395,835,4377,6512,3142
ANGPT4,6102,9151,2346,14966,8252,12532,293,4840,6239,13924,12495,13820,601,824,13255,11597,11974,15911,7481,7287
ANGPTL1,285,1783,4209,5959,49,6251,191,67,3013,6556,9023,2945,51,1184,15930,15727,16057,16271,16125,16055
ANGPTL2,15854,16089,15858,6675,15833,938,6857,14017,2493,1988,8115,1966,2959,4820,4864,7364,9778,6017,9481,8029
ANGPTL3,5216,1952,554,1675,15858,1048,663,14726,638,1193,3694,847,15607,16249,15506,15380,15749,14202,15473,15560
ANGPTL4,7383,930,2171,11620,230,6314,988,603,2067,3104,7358,1440,1540,1823,14636,15841,15377,15972,16224,16272
ANGPTL5,4157,7612,10365,7607,6371,6398,14601,3983,5214,14151,13670,2975,3539,14643,7678,6064,8060,4874,8010,5867
ANGPTL6,7926,15887,12952,5460,14504,11569,6771,12006,15177,8323,369,5611,304,437,12919,13986,13052,5833,12291,7645
ANGPTL7,15622,16016,15683,5029,1432,4359,2684,2501,9802,7434,325,3965,6518,13162,8687,15436,8450,9293,12423,5702
ANHX,15946,1318,10263,15816,4365,14311,411,2020,16107,912,2826,581,3802,2577,14443,14555,13420,15778,15582,13588
ANK1,11942,11045,8462,11361,12511,8458,1982,8131,7208,2424,16163,1817,5627,4428,408,1008,7062,6873,15907,6278
ANK2,10808,10632,9113,13118,14045,2198,4927,13429,9122,4821,11570,9918,14609,11962,101,3808,3577,43,8309,7725
ANK3,193,1466,3054,6788,14698,3337,4445,14620,12453,4620,7561,12465,11658,10379,560,16084,15666,22,15379,370
ANKAR,14082,8843,3840,11903,15106,11472,2187,14765,14843,12567,11602,4377,6726,5214,9563,6241,2381,1423,1220,25
ANKDD1A,13460,12410,7423,9185,9115,3331,1544,13140,14694,10857,11208,11829,889,5716,14477,4186,5522,918,6513,5429
ANKEF1,5459,9174,15616,10960,11420,10244,7978,11484,11194,2116,8703,7823,8201,12593,2285,3017,2335,5337,4561,4651
ANKFN1,15937,15291,1315,6238,16093,14376,3368,12341,15530,4392,1510,1620,15161,6088,2458,2144,1995,6554,2167,4627
ANKFY1,970,3192,7945,7631,5991,9020,11761,13553,12845,8180,14115,7254,2325,12630,13104,4413,13285,3225,633,454
ANKH,2474,5222,1334,5211,11683,10747,14048,8929,12686,13681,5840,12254,9452,9350,2464,8714,6298,5394,6884,5626
ANKIB1,12106,8624,5111,10487,14298,7271,6530,11533,11839,10039,12491,8521,14868,11158,501,1594,866,880,579,537
ANKK1,12516,16239,1944,15558,16118,11046,111,4709,2739,11585,1388,200,1425,1524,14949,14695,13840,13276,12859,15132
ANKLE1,15364,14529,2150,52,15492,16055,2673,4238,14385,4064,12477,941,218,13590,5467,6437,5726,14598,14600,10321
ANKLE2,8561,8840,11604,10208,8580,4786,11082,13180,7662,3387,13262,12053,9056,10563,4290,4494,4339,2550,2842,1334
ANKMY1,10258,431,7165,10669,12115,10301,2909,14490,14112,13794,11036,6613,6985,8209,13664,2095,4885,2843,3538,2309
ANKMY2,11378,4473,12840,10486,1563,6367,12499,11130,12469,3090,15169,6153,11232,9464,2038,3266,3955,3944,4286,2908
ANKRA2,13561,13063,14967,2270,12499,7042,11302,6951,761,1278,9304,10802,6310,15565,5908,6946,10372,12820,3151,6552
ANKRD10,10792,8153,7046,8990,14246,2188,492,12963,9231,2799,15262,5028,15291,15257,9244,8994,7243,30,8836,5992
ANKRD11,10660,8851,8271,10235,14186,5686,7966,14618,10511,9315,10916,9095,12828,10048,1541,2860,1565,389,1958,1249
ANKRD12,10294,6261,5857,8475,14327,6881,5743,13005,9937,11532,10787,9489,14913,12134,5274,4625,2775,349,619,285
ANKRD13A,15278,4459,311,3588,13539,12375,1210,14816,9845,11490,15567,5682,3853,12797,7307,4121,7817,1298,12428,2778
ANKRD13C,7682,6395,5805,11386,12633,8540,6344,13070,14240,11022,10489,11073,9612,6742,4860,5280,3883,1221,1041,2174
ANKRD13D,9237,13527,7001,9538,15008,6998,6415,14649,12003,6465,11971,9714,7055,10355,439,3598,1033,2562,1110,536
